,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,3,10uF,"C2,C3,C4",C0603,10uF,CL10A106MQ8NNNC,SAMSUNG(三星),C1691,LCSC
2,1,1uF,C5,C0603,1uF,CL10A105KA8NNNC,SAMSUNG(三星),C5673,LCSC
3,1,100nF,C6,C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC
4,1,PESDNC2FD5VB,D1,DFN1006-2L-BI,,PESDNC2FD5VB,Prisemi(芯导),C110694,LCSC
5,1,2.54-1*4P母,H1,HDR-TH_4P-P2.54-V-F,,2.54-1*4P母,BOOMELE(博穆精密),C2718488,LCSC
6,1,KT-0603YG,LED1,LED0603-RD,,KT-0603YG,KENTO,C2289,LCSC
7,1,DMP2120U-7,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,DMP2120U-7,DIODES(美台),C560272,LCSC
8,4,10kΩ,"R5,R12,R13,R15",R0603,10kΩ,0603WAJ0103T5E,UNI-ROYAL(厚声),C15401,LCSC
9,2,1kΩ,"R6,R16",R0603,1kΩ,0603WAF1001T5E,UNI-ROYAL(厚声),C21190,LCSC
10,1,1.2kΩ,R7,R0603,1.2kΩ,0603WAF1201T5E,UNI-ROYAL(厚声),C22765,LCSC
11,1,120Ω,R8,R0603,120Ω,0603WAF1200T5E,UNI-ROYAL(厚声),C22787,LCSC
12,1,196Ω,R9,R0603,196Ω,CR0603FA1960G,LIZ(丽智电子),C100837,LCSC
13,2,5.1kΩ,"R10,R11",R0603,5.1kΩ,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,LCSC
14,1,10kΩ,R14,RES-ADJ-TH_RK09L1140A65,10kΩ,RK09L1140A2U,ALPSALPINE(阿尔卑斯阿尔派),C470448,LCSC
15,1,MST-12D18G4 SPDT Slide Switch,SW4,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,,MST-12D18G4 SPDT Slide Switch,SHOU HAN(首韩),C49023767,LCSC
16,3,SPEH110100,"SW5,SW6,SW7",SW-SMD_L6.0-W6.0-LS6.6,,SPEH110100,ALPSALPINE(阿尔卑斯阿尔派),C97448,LCSC
17,1,ESP32-S3-WROOM-1-N8R8,U1,WIRELM-SMD_ESP32-S3-WROOM-1,,ESP32-S3-WROOM-1-N8R8,ESPRESSIF(乐鑫),C2913201,LCSC
18,1,S2B-PH-K-S(LF)(SN),U3,CONN-TH_S2B-PH-K-S-LF-SN,,S2B-PH-K-S(LF)(SN),JST,C173752,LCSC
19,1,TP4056-42-ESOP8,U6,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,TP4056-42-ESOP8,TOPPOWER(南京拓微),C16581,LCSC
20,1,AMS1117-3.3,U7,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,AMS1117-3.3,AMS,C6186,LCSC
21,1,USB-05,USB1,USB-A-TH_USB-05,,USB-05,SOFNG(硕方),C112454,LCSC
22,1,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,韩国韩荣,C165948,LCSC
