Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
U1,ESP32-S3-WROOM-1-N8R8,WIRELM-SMD_ESP32-S3-WROOM-1,32.893mm,-26.797mm,32.893mm,-26.797mm,24.143mm,-17.902mm,49,T,0,Yes,ESP32-S3-WROOM-1-N8R8
C2,CL10A106MQ8NNNC,C0603,44.577mm,-14.224mm,44.577mm,-14.224mm,43.877mm,-14.224mm,2,T,0,Yes,10uF
C3,CL10A106MQ8NNNC,C0603,15.669mm,-24.389mm,15.669mm,-24.389mm,15.669mm,-23.689mm,2,T,270,Yes,10uF
C4,CL10A106MQ8NNNC,C0603,19.812mm,-24.384mm,19.812mm,-24.384mm,19.812mm,-25.084mm,2,T,90,Yes,10uF
C5,CL10A105KA8NNNC,C0603,16.256mm,-0.762mm,16.256mm,-0.762mm,15.556mm,-0.762mm,2,T,0,Yes,1uF
C6,CC0603KRX7R9BB104,C0603,17.78mm,-24.384mm,17.78mm,-24.384mm,17.78mm,-25.084mm,2,T,90,Yes,100nF
D1,PESDNC2FD5VB,DFN1006-2L-BI,40.157mm,-52.241mm,40.157mm,-52.241mm,39.732mm,-52.241mm,2,T,0,Yes,PESDNC2FD5VB
H1,2.54-1*4P母,HDR-TH_4P-P2.54-V-F,32.639mm,-7.112mm,32.639mm,-7.112mm,28.829mm,-7.112mm,4,T,0,No,2.54-1*4P母
LED1,KT-0603YG,LED0603-RD,16.383mm,-27.432mm,16.383mm,-27.432mm,17.132mm,-27.432mm,2,T,180,Yes,KT-0603YG
Q1,DMP2120U-7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,51.308mm,-26.035mm,51.308mm,-26.035mm,52.308mm,-26.985mm,3,T,0,Yes,DMP2120U-7
R5,0603WAJ0103T5E_C15401,R0603,23.876mm,-40.005mm,23.876mm,-40.005mm,24.629mm,-40.005mm,2,T,180,Yes,10kΩ
R6,0603WAF1001T5E,R0603,20.066mm,-27.432mm,20.066mm,-27.432mm,20.819mm,-27.432mm,2,T,180,Yes,1kΩ
R7,0603WAF1201T5E,R0603,44.568mm,-28.693mm,44.568mm,-28.693mm,44.568mm,-29.447mm,2,T,90,Yes,1.2kΩ
R8,0603WAF1200T5E,R0603,38.354mm,-39.243mm,38.354mm,-39.243mm,37.601mm,-39.243mm,2,T,0,Yes,120Ω
R9,CR0603FA1960G,R0603,35.052mm,-39.243mm,35.052mm,-39.243mm,34.299mm,-39.243mm,2,T,0,Yes,196Ω
R10,0603WAF5101T5E,R0603,17.018mm,-52.324mm,17.018mm,-52.324mm,16.265mm,-52.324mm,2,T,0,Yes,5.1kΩ
R11,0603WAF5101T5E,R0603,17.018mm,-50.038mm,17.018mm,-50.038mm,16.265mm,-50.038mm,2,T,0,Yes,5.1kΩ
R12,0603WAJ0103T5E_C15401,R0603,43.18mm,-38.227mm,43.18mm,-38.227mm,42.427mm,-38.227mm,2,T,0,Yes,10kΩ
R13,0603WAJ0103T5E_C15401,R0603,21.835mm,-24.375mm,21.835mm,-24.375mm,21.835mm,-25.129mm,2,T,90,Yes,10kΩ
R14,RK09L1140A2U,RES-ADJ-TH_RK09L1140A65,45.72mm,-48.387mm,45.72mm,-48.387mm,43.22mm,-52.137mm,5,T,0,No,10kΩ
R15,0603WAJ0103T5E_C15401,R0603,44.577mm,-24.892mm,44.577mm,-24.892mm,44.577mm,-25.645mm,2,T,90,Yes,10kΩ
R16,0603WAF1001T5E,R0603,44.577mm,-21.209mm,44.577mm,-21.209mm,44.577mm,-21.962mm,2,T,90,Yes,1kΩ
SW4,MST-12D18G4 SPDT Slide Switch,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,47.752mm,-9.652mm,47.752mm,-9.652mm,47.752mm,-12.152mm,3,T,90,Yes,MST-12D18G4 SPDT Slide Switch
SW5,SPEH110100,SW-SMD_L6.0-W6.0-LS6.6,23.114mm,-1.016mm,23.114mm,-1.016mm,19.921mm,-1.016mm,2,T,0,Yes,SPEH110100
SW6,SPEH110100,SW-SMD_L6.0-W6.0-LS6.6,42.926mm,-1.143mm,42.926mm,-1.143mm,39.733mm,-1.143mm,2,T,0,Yes,SPEH110100
SW7,SPEH110100,SW-SMD_L6.0-W6.0-LS6.6,21.59mm,-45.085mm,21.59mm,-45.085mm,18.397mm,-45.085mm,2,T,0,Yes,SPEH110100
U3,S2B-PH-K-S(LF)(SN),CONN-TH_S2B-PH-K-S-LF-SN,18.542mm,-8.509mm,18.542mm,-8.509mm,17.542mm,-8.509mm,2,T,180,No,S2B-PH-K-S(LF)(SN)
U6,TP4056-42-ESOP8,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,49.911mm,-19.812mm,49.911mm,-19.812mm,48.006mm,-22.72mm,9,T,0,Yes,TP4056-42-ESOP8
U7,AMS1117-3.3_C6186,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,48.006mm,-33.274mm,48.006mm,-33.274mm,50.976mm,-35.574mm,4,T,0,Yes,AMS1117-3.3
USB1,USB-05,USB-A-TH_USB-05,32.512mm,4.826mm,32.512mm,4.826mm,29.012mm,3.826mm,6,T,180,No,USB-05
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,32.893mm,-50.038mm,32.893mm,-50.038mm,37.218mm,-48.332mm,16,T,0,No,TYPE-C-31-M-12
